date,value,source
1973-01-01,77999996900.0,World Bank
1974-01-01,96999997400.0,World Bank
1975-01-01,106499997700.0,World Bank
1976-01-01,115000000500.0,World Bank
1977-01-01,132900003800.0,World Bank
1978-01-01,148500004900.0,World Bank
1979-01-01,161599995900.0,World Bank
1980-01-01,160599998500.0,World Bank
1981-01-01,172200001500.0,World Bank
1982-01-01,172200001500.0,Resampled
1983-01-01,172200001500.0,Resampled
1984-01-01,172200001500.0,Resampled
1985-01-01,172200001500.0,Resampled
1986-01-01,172200001500.0,Resampled
1987-01-01,172200001500.0,Resampled
1988-01-01,172200001500.0,Resampled
1989-01-01,172200001500.0,Resampled
1990-01-01,172200001500.0,Resampled
1991-01-01,172200001500.0,Resampled
1992-01-01,172200001500.0,Resampled
1993-01-01,172200001500.0,Resampled
1994-01-01,172200001500.0,Resampled
1995-01-01,172200001500.0,Resampled
1996-01-01,172200001500.0,Resampled
1997-01-01,172200001500.0,Resampled
1998-01-01,172200001500.0,Resampled
1999-01-01,172200001500.0,Resampled
2000-01-01,172200001500.0,Resampled
2001-01-01,172200001500.0,Resampled
2002-01-01,182162721300.0,World Bank
2003-01-01,221358563000.0,World Bank
2004-01-01,249791940700.0,World Bank
2005-01-01,308163225800.0,World Bank
2006-01-01,348048404600.0,World Bank
2007-01-01,485419056200.0,World Bank
2008-01-01,515046858600.0,World Bank
2009-01-01,611692107000.0,World Bank
2010-01-01,726231122700.0,World Bank
2011-01-01,850347275400.0,World Bank
2012-01-01,1028794220100.0,World Bank
2013-01-01,1138809791300.0,World Bank
2014-01-01,1176469485800.0,World Bank
2015-01-01,1222756495400.0,World Bank
2016-01-01,1222916881100.0,World Bank
2017-01-01,1285460326500.0,World Bank
2018-01-01,1327690394700.0,World Bank
2019-01-01,1469596303300.0,World Bank
2020-01-01,1547289027600.0,World Bank
2021-01-01,1232858252900.0,World Bank
2022-01-01,1323339892606.2627,Forecast
2023-01-01,1294087899488.5173,Forecast
2024-01-01,1282884261562.344,Forecast
2025-01-01,1335814768295.5408,Forecast
2026-01-01,1353590124685.8633,Forecast
2027-01-01,1371521068984.7058,Forecast
2028-01-01,1387793709191.019,Forecast
2029-01-01,1456724615673.2083,Forecast
2030-01-01,1483817565621.837,Forecast
